Location Name,Type,Address,Coordinates
„Autorika“,#poly-F8971B-3001-77,"Joniškės g. 27A, Klaipėda","21.1640453, 55.7157438; 21.1644584, 55.7156894; 21.1650002, 55.7157076; 21.1659551, 55.7158164; 21.1655474, 55.7162757; 21.1641526, 55.7161669; 21.1640453, 55.7157438"
„Autorika“ ,#icon-503-DB4436,"Joniškės g. 27A, Klaipėda","21.1650538, 55.7159131"
Gargždai 1,,#poly-F8971B-1200-77-nodesc,"21.4024213, 55.7135862; 21.401917, 55.7136527; 21.4016756, 55.7132629; 21.402145, 55.713139; 21.4024213, 55.7135862"
Gargždai 2,,#poly-F8971B-1200-77-nodesc,"21.3874787, 55.7124001; 21.3871086, 55.7124681; 21.3868108, 55.7119951; 21.3871729, 55.7119196; 21.3874787, 55.7124001"
Gargždai 2,,#icon-503-DB4436-nodesc,"21.3871406, 55.7122839"
Gargždai 1,,#icon-503-DB4436-nodesc,"21.4020109, 55.7134502"
"Atostogų parkas, Darbėnų kl.",,#poly-F8971B-1200-77-nodesc,"21.1257756, 55.9576603; 21.125797, 55.9572699; 21.1286724, 55.9572939; 21.1286509, 55.9576963; 21.1257756, 55.9576603"
"Atostogų parkas, Darbėnų kl.",,#icon-503-DB4436-nodesc,"21.1270791, 55.9575071"
HBH Palanga,,#poly-F8971B-1200-77-nodesc,"21.1446422, 55.9592699; 21.1451358, 55.9591377; 21.1456186, 55.9590477; 21.1460155, 55.9589996; 21.1463374, 55.9594981; 21.1452216, 55.9597684; 21.1446422, 55.9592699"
HBH Palanga,,#icon-503-DB4436-nodesc,"21.1454791, 55.95939"
Pagrindinė Klaipėdos Zona,,#poly-F8971B-1200-77-nodesc,"21.1862058, 55.6581608; 21.1959314, 55.6602671; 21.2024975, 55.6617801; 21.2101364, 55.6633777; 21.2086344, 55.6663308; 21.2070465, 55.6691385; 21.2059093, 55.6697193; 21.2029481, 55.6710505; 21.1996436, 55.6725146; 21.1967468, 55.6738699; 21.1920047, 55.6760962; 21.1894941, 55.6774392; 21.1878633, 55.6796654; 21.1887538, 55.6798348; 21.1881745, 55.6807481; 21.1885706, 55.6808299; 21.1884303, 55.6810689; 21.1874845, 55.6811719; 21.1872236, 55.6815594; 21.185782, 55.683706; 21.1836576, 55.6864277; 21.1808332, 55.6900917; 21.1811845, 55.6911614; 21.1854063, 55.6922847; 21.184237, 55.6939992; 21.1780787, 55.6921004; 21.1760187, 55.6935154; 21.1753535, 55.6935154; 21.1676073, 55.6920278; 21.1663413, 55.6944103; 21.1738729, 55.6957648; 21.1685729, 55.6997917; 21.1645818, 55.7032015; 21.1628437, 55.7044105; 21.1676449, 55.7048972; 21.167264, 55.7060548; 21.1647964, 55.7059823; 21.1621141, 55.705547; 21.1605263, 55.7057647; 21.1579943, 55.7076205; 21.155355, 55.7094883; 21.153295, 55.7102499; 21.1494112, 55.7111323; 21.1483169, 55.7177925; 21.1460853, 55.7192429; 21.1319876, 55.7212008; 21.1322021, 55.7315566; 21.1361933, 55.731617; 21.1365366, 55.7281493; 21.143961, 55.7263971; 21.1434889, 55.7293334; 21.1479092, 55.7299134; 21.1446691, 55.7364133; 21.132524, 55.73651; 21.1325615, 55.734571; 21.1291552, 55.7346253; 21.1252713, 55.7312062; 21.1241126, 55.7299013; 21.1224389, 55.7263367; 21.1230826, 55.72508; 21.1161304, 55.7244395; 21.1133984, 55.7253536; 21.1109502, 55.7254644; 21.1086319, 55.7245893; 21.113255, 55.7201252; 21.1150099, 55.7184994; 21.1183619, 55.7163059; 21.1223531, 55.7137555; 21.1245203, 55.7122324; 21.1256146, 55.7099235; 21.1255074, 55.7095971; 21.1261511, 55.7090651; 21.1269665, 55.7090893; 21.1279321, 55.7086783; 21.1236191, 55.7068044; 21.1241341, 55.7051843; 21.1260223, 55.7054503; 21.1269665, 55.7042896; 21.1313438, 55.7047491; 21.1332321, 55.7053052; 21.1336184, 55.704072; 21.1354637, 55.7022825; 21.1364508, 55.7019803; 21.1354314, 55.6999156; 21.1383605, 55.6962848; 21.1398196, 55.6944345; 21.14115, 55.6928502; 21.142416, 55.691544; 21.1436391, 55.6898991; 21.1436605, 55.6896331; 21.1410856, 55.6890283; 21.1414504, 55.688487; 21.1434889, 55.6888831; 21.143918, 55.6880002; 21.144948, 55.6882663; 21.1471581, 55.6851455; 21.1483812, 55.6841052; 21.1501408, 55.6824358; 21.1509991, 55.6807663; 21.1522007, 55.678274; 21.1498189, 55.6778869; 21.1500764, 55.6774755; 21.1523509, 55.6780079; 21.1557519, 55.6785856; 21.1559772, 55.6783013; 21.1565458, 55.6784525; 21.1603761, 55.6792782; 21.1647105, 55.6719822; 21.165939, 55.6723088; 21.1685154, 55.668046; 21.1676157, 55.6678494; 21.1682296, 55.6667181; 21.1668563, 55.6662582; 21.1670709, 55.6653142; 21.1702037, 55.6653142; 21.1714911, 55.6635109; 21.1733794, 55.6605697; 21.1828801, 55.6624637; 21.1862058, 55.6581608"
