Location Name,Type,Address,Coordinates
Wakeway,#icon-503-DB4436,"Ežero g. 13, Vilnius","25.3764009, 54.6387275"
Lentvaris (Kilimai),#poly-F8971B-2401-87,"Vytauto g. 4c, Lentvaris","25.0460171, 54.6540735; 25.0466502, 54.6542472; 25.0464356, 54.6545513; 25.046103, 54.6544583; 25.045706, 54.6543713; 25.0460171, 54.6540735"
Lentvaris (Kilimai),#icon-503-DB4436,"Vytauto g. 4c, Lentvaris","25.0462103, 54.6543651"
"PC Senukai, Darbo a. - Panevėžys",#poly-F8971B-2401-87,,"24.3415511, 55.7268745; 24.3416584, 55.7248685; 24.3436432, 55.7252794; 24.3432248, 55.7260528; 24.3431818, 55.7262219; 24.3432999, 55.7267778; 24.3415511, 55.7268745"
"TIK KROVININIAI PC Senukai, Darbo a. - Panevėžys",#icon-503-DB4436,"Darbo a. 7, Panevėžys ","24.342463, 55.7258473"
"PC Bruklinas, Pramonės g. - Šiauliai,",#poly-F8971B-2401-87,"Pramonės g. 6, Šiauliai","23.3020556, 55.9157604; 23.3011436, 55.9150749; 23.3044803, 55.91371; 23.3053923, 55.9144015; 23.3020556, 55.9157604"
"TIK KROVININIAI PC Bruklinas, Pramonės g. - Šiauliai,",#icon-503-DB4436,"Pramonės g. 6, Šiauliai","23.3033967, 55.9148765"
Pagrindinė Vilniaus zona,#poly-F8971B-2401-87,,"25.272126, 54.6583366; 25.2910303, 54.6595033; 25.2974032, 54.6596647; 25.3015125, 54.6622463; 25.3056431, 54.665411; 25.3057504, 54.6694813; 25.3049349, 54.6721119; 25.3071022, 54.6756976; 25.3085613, 54.6764296; 25.3132606, 54.6758589; 25.3207708, 54.674612; 25.3221011, 54.6779805; 25.3192902, 54.6791714; 25.3149128, 54.6800647; 25.3159642, 54.682186; 25.3185822, 54.6836745; 25.3197837, 54.6842575; 25.3218436, 54.6853739; 25.3252555, 54.6871228; 25.3165007, 54.691191; 25.3255773, 54.7006528; 25.3266717, 54.7023887; 25.3316499, 54.7088107; 25.3308345, 54.7122569; 25.3296543, 54.7182436; 25.3296114, 54.7219864; 25.3296329, 54.7248739; 25.3325512, 54.7283682; 25.3295256, 54.7294958; 25.3286244, 54.7291241; 25.3261782, 54.7286904; 25.3190542, 54.7286532; 25.3153634, 54.7280461; 25.3116512, 54.7260263; 25.3104496, 54.7267078; 25.3096557, 54.7274017; 25.3081322, 54.7283558; 25.3067803, 54.7287647; 25.3055787, 54.7291241; 25.3042482, 54.7296197; 25.3027247, 54.7299418; 25.3015018, 54.7301401; 25.2965235, 54.7296692; 25.2927041, 54.7300162; 25.2862453, 54.73071; 25.2846144, 54.7331632; 25.2832841, 54.7366569; 25.2808379, 54.7420578; 25.2819323, 54.7455507; 25.2826404, 54.7495139; 25.2869319, 54.7510372; 25.2904724, 54.7514087; 25.2945708, 54.7501703; 25.296824, 54.752548; 25.296502, 54.752969; 25.2956653, 54.7533158; 25.2951287, 54.7534024; 25.2925538, 54.7535386; 25.2900647, 54.7537987; 25.2907943, 54.7608069; 25.2910089, 54.7631716; 25.2850329, 54.7661984; 25.2820396, 54.7661304; 25.2808808, 54.7583307; 25.2680491, 54.7584297; 25.2575777, 54.7584173; 25.2563975, 54.7543064; 25.2525352, 54.7550494; 25.2511618, 54.7536377; 25.2506468, 54.7532415; 25.2443168, 54.7509381; 25.2414629, 54.7449934; 25.2343819, 54.74264; 25.2328232, 54.7425914; 25.2324952, 54.7425805; 25.2321779, 54.7421856; 25.2312861, 54.7422133; 25.2304585, 54.7424392; 25.2275173, 54.7435817; 25.2283299, 54.7440583; 25.2256915, 54.7449438; 25.21728, 54.7422932; 25.215735, 54.7411536; 25.2135893, 54.7398158; 25.2115937, 54.7385151; 25.2095338, 54.737202; 25.2088041, 54.7363843; 25.208332, 54.7355667; 25.2081818, 54.7341544; 25.2082462, 54.7326181; 25.2082462, 54.7311065; 25.2080747, 54.7285417; 25.2079029, 54.7262617; 25.2079029, 54.7248739; 25.2080317, 54.7232629; 25.2082891, 54.7216766; 25.2084179, 54.7204125; 25.2084608, 54.7189997; 25.2084179, 54.7169918; 25.208375, 54.7149343; 25.2084393, 54.7127527; 25.2086968, 54.7117115; 25.2093191, 54.7101991; 25.2098341, 54.7088355; 25.2100058, 54.7076082; 25.2100702, 54.7065544; 25.2099414, 54.7053023; 25.2097483, 54.7039757; 25.2092976, 54.702525; 25.208611, 54.7006528; 25.2080103, 54.6997104; 25.2070875, 54.6981604; 25.2059718, 54.6964988; 25.2052207, 54.6953703; 25.2043838, 54.6944278; 25.2031393, 54.6930885; 25.2019162, 54.6917987; 25.2000279, 54.6897647; 25.1981182, 54.6877678; 25.1969166, 54.6864034; 25.1955218, 54.6847909; 25.1947278, 54.6832404; 25.1944704, 54.6819999; 25.1944704, 54.6814293; 25.1947707, 54.6801639; 25.1954145, 54.6787993; 25.1959295, 54.6772237; 25.1964874, 54.6747175; 25.1977319, 54.6693696; 25.1926893, 54.6643933; 25.1914448, 54.6629289; 25.222344, 54.6646415; 25.2194686, 54.6709083; 25.2271291, 54.6705981; 25.2274724, 54.6712681; 25.2293178, 54.670871; 25.2320858, 54.6702754; 25.2372356, 54.6691586; 25.2398965, 54.668563; 25.2443167, 54.6675703; 25.2468917, 54.6671732; 25.24878, 54.6669498; 25.2503249, 54.6667636; 25.2520844, 54.6664038; 25.253329, 54.6659446; 25.2544448, 54.6652745; 25.25511, 54.6646167; 25.255861, 54.6636487; 25.2566978, 54.6629289; 25.2573201, 54.6625565; 25.2584788, 54.6620601; 25.2603027, 54.6614023; 25.2616547, 54.6609307; 25.2628134, 54.6604342; 25.2637146, 54.6599501; 25.2642081, 54.6596026; 25.2652596, 54.6588083; 25.2667401, 54.6580387; 25.2680704, 54.6576911; 25.2695296, 54.6574677; 25.2704094, 54.6576911; 25.272126, 54.6583366"
"Kauno oro uostas, Unipark aikštelė",#icon-503-DB4436,,"24.071093, 54.96959"
Kauno LEZ,#icon-503-DB4436,"Terminalo g.3 Biruliškės, Kaunas","24.0046978, 54.9424774"
